url,name,hybridizer,year,scape_height,bloom_size,bloom_season,ploidy,foliage_type,bloom_habit,bud_count,branches,seedling_num,color_description,parentage,image_url,fragrance,form,awards,sculpting,notes,rebloom,Region,primary_hybridizer,City,State,Country,parents
https://daylilydatabase.org/detail.php?id=159503&name=Piaffe,Piaffe,Rice-JA,2009.0,28.0,5.0,Midseason,Tetraploid,Dormant,Diurnal,25.0,4.0,02-11,coral orange blend with orange gold edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/P/PIAFFE.jpg,Unknown,,JC 2009,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=193584&name=The Heights,The Heights,Rice-JA,2021.0,48.0,7.5,Early-Midseason,Diploid,Evergreen,Diurnal,24.0,4.0,A J56,Light violet pink with emerald throat.,(Blue Dolphin × Scandinavia),https://daylilydatabase.org/AHSPhoto/T/The_Heights_1617153005.jpg,Unknown,Unusual FormCrispate,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Blue Dolphin,Scandinavia"
https://daylilydatabase.org/detail.php?id=154014&name=Big Bang Theory,Big Bang Theory,Rice-JA,2007.0,28.0,7.0,Early-Midseason,Tetraploid,Semi-Evergreen,Diurnal,20.0,3.0,BB3,peach with violet purple eye and edge above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/B/Big_Bang_Theory.jpg,Unknown,,HM 2011,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158419&name=Velvet Handcuffs,Velvet Handcuffs,Rice-JA,2009.0,34.0,6.0,Midseason,Diploid,Dormant,Diurnal,20.0,3.0,pur.dip.,clear dark violet purple with large yellow eye and slight white midribs,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/V/Velvet_Handcuffs.jpg,Unknown,Unusual FormCascade,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158407&name=Horse Country,Horse Country,Rice-JA,2009.0,37.0,5.0,Late,Tetraploid,Dormant,Diurnal,25.0,5.0,5K-1,light yellow polychrome with pink infusion and green eye with small gold edge,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/H/HORSE_COUNTRY.jpg,Fragrant,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=161115&name=Airdrie,Airdrie,Rice-JA,2009.0,31.0,6.5,Early-Midseason,Tetraploid,Dormant,Diurnal,18.0,3.0,Poly,red orange blend above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/A/AIRDRIE.jpg,Unknown,Polymerous 50%,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158595&name=Katherine Marin,Katherine Marin,Rice-JA,2007.0,33.0,6.0,Midseason-Late,Tetraploid,Semi-Evergreen,Diurnal,20.0,3.0,DD 3-8,cherry pink with gold edge above chartreuse throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/K/KATHERINE_MARIN.jpg,Fragrant,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163407&name=Starring Attraction,Starring Attraction,Rice-JA,2010.0,35.0,6.5,Midseason,Diploid,Dormant,Diurnal,23.0,3.0,8,deep rose with large bright yellow star shaped eye and white midribs and picotee edge,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/S/STARRING ATTRACTION (8).jpg,Unknown,Unusual FormCascade,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163755&name=Hymn to Her,Hymn to Her,Rice-JA,2010.0,35.0,5.5,Late,Tetraploid,Dormant,Diurnal,21.0,4.0,129,light pink with pink halo above green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/H/HYMN TO HER (129).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=154006&name=If It Makes You Happy,If It Makes You Happy,Rice-JA,2007.0,37.0,6.5,Midseason-Late,Tetraploid,Dormant,Diurnal,21.0,3.0,BB2-R6,light lavender rose with yellow eye above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/I/If_It_Makes_You_Happy.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=154002&name=Memorable Kiss,Memorable Kiss,Rice-JA,2007.0,33.0,5.0,Midseason-Late,Tetraploid,Dormant,Diurnal,24.0,4.0,U-7,cream rose blend darker edge above lime green throat,,https://daylilydatabase.org/AHSPhoto/M/Memorable_Kiss.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=175092&name=I Can See Clearly Now,I Can See Clearly Now,Rice-JA,2014.0,32.0,4.5,Midseason,Diploid,Dormant,Diurnal,15.0,3.0,13-27,light lavender violet bitone with lime green to yellow throat,((sdlg × sdlg) × (sdlg × sdlg)),https://daylilydatabase.org/AHSPhoto/I/I Can See Clearly Now.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163751&name=Martha Chamberlain,Martha Chamberlain,Rice-JA,2010.0,30.0,5.5,Midseason-Late,Tetraploid,Dormant,Diurnal,25.0,5.0,34,lavender rose bitone with wide gold edge above lime green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/M/Martha_Chamberlain.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163402&name=In High Regard,In High Regard,Rice-JA,2010.0,46.0,6.5,Late,Diploid,Semi-Evergreen,Diurnal,20.0,3.0,114,lavender with slight white midribs above bright lime green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/I/In_High_Regard.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158413&name=Hot Tamales and Red Hots,Hot Tamales and Red Hots,Rice-JA,2009.0,30.0,5.5,Midseason,Tetraploid,Dormant,Extended,18.0,3.0,LAVA,red orange blend above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/H/Hot_Tamales_and_Red_Hots.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158417&name=Kinloch,Kinloch,Rice-JA,2008.0,32.0,6.0,Midseason-Late,Tetraploid,Dormant,Diurnal,22.0,3.0,KIN,red purple stipled with gold edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/K/KINLOCH.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163753&name=Law of Attraction,Law of Attraction,Rice-JA,2010.0,26.0,5.0,Midseason,Tetraploid,Dormant,Diurnal,20.0,3.0,38,magenta purple with purple eye and gold edge above green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/L/LAW OF ATTRACTION (38).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158777&name=Keeneland,Keeneland,Rice-JA,2009.0,32.0,6.0,Midseason,Tetraploid,Dormant,Diurnal,15.0,3.0,R-47-4-2,red self above green to yellow throat,(Apache War Dance × unknown),https://daylilydatabase.org/AHSPhoto/K/KEENELAND.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,Apache War Dance
https://daylilydatabase.org/detail.php?id=157882&name=Kentucky Lucky,Kentucky Lucky,Rice-JA,2007.0,30.0,5.5,Late,Tetraploid,Semi-Evergreen,Diurnal,26.0,5.0,K-5,light yellow peach polychrome with gold edge above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/K/Kentucky_Lucky.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158778&name=Kentucky Proud,Kentucky Proud,Rice-JA,2009.0,22.0,5.0,Late,Tetraploid,Dormant,Diurnal,20.0,4.0,CRSH,light cream yellow with gold edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/K/KENTUCKY_PROUD.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163403&name=Kentucky Woman,Kentucky Woman,Rice-JA,2010.0,25.0,4.5,Midseason,Tetraploid,Semi-Evergreen,Diurnal,21.0,4.0,45,medium orange blend with gold shark tooth edge above lime green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/K/KENTUCKY WOMAN (45).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163752&name=Mai Tai,Mai Tai,Rice-JA,2010.0,31.0,6.0,Midseason,Tetraploid,Semi-Evergreen,Diurnal,14.0,2.0,28,bright orange apricot blend above green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/M/MAI TAI (28).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158409&name=Jefferson Davis,Jefferson Davis,Rice-JA,2009.0,29.0,6.0,Midseason-Late,Tetraploid,Semi-Evergreen,Extended,20.0,4.0,7-13-7,gray lavender with gray violet eye and white edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/J/jefferson_davis.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=198281&name=Sublime Rhyme,Sublime Rhyme,Rice-JA,2023.0,42.0,6.5,Midseason,Diploid,Semi-Evergreen,Diurnal,18.0,4.0,R141,Near white with pink and violet blushes.,(Young Kitten × Persuade Me),https://daylilydatabase.org/AHSPhoto/S/Sublime_Rhyme_1675788169.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,"Young Kitten,Persuade Me"
https://daylilydatabase.org/detail.php?id=190389&name=Suffice It to Say,Suffice It to Say,Rice-JA,2020.0,32.0,6.0,Early-Midseason,Diploid,Dormant,Diurnal,18.0,3.0,36876A,Rich violet lavender bitone.,(Dream Sequence × Cosmic Disclosure),https://daylilydatabase.org/AHSPhoto/S/SufficeIttoSay_1575943181.JPG,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,"Cosmic Disclosure,Dream Sequence"
https://daylilydatabase.org/detail.php?id=201303&name=Statuesque Beauty,Statuesque Beauty,Rice-JA,2024.0,42.0,8.0,Midseason,Diploid,Dormant,Nocturnal,18.0,4.0,18-31,"Lavender blue with large, bright celadon to yellow throat extending onto petals and sepals, waxy substance.",(Blue Dolphin × Namaste),https://daylilydatabase.org/AHSPhoto/S/Statuesque_Beauty_1717802199.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Blue Dolphin,Namaste"
https://daylilydatabase.org/detail.php?id=157881&name=Staring Into the Sun,Staring Into the Sun,Rice-JA,2007.0,40.0,6.0,Midseason-Late,Tetraploid,Dormant,Diurnal,23.0,4.0,BB1-R4,yellow gold self above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/S/Staring_Into_the_Sun.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=157880&name=Sweet Talking Man,Sweet Talking Man,Rice-JA,2007.0,33.0,6.5,Midseason-Late,Tetraploid,Dormant,Diurnal,20.0,3.0,K-8,cream light rose bitone with dark rose edge above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/S/Sweet_Talking_Man.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163408&name=Sweet Serenity,Sweet Serenity,Rice-JA,2010.0,24.0,6.0,Early-Midseason,Tetraploid,Dormant,Diurnal,16.0,3.0,67,medium light lavender with orange to slate blue eye,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/S/sweet_serenity.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163485&name=Short and Sassy,Short and Sassy,Rice-JA,2010.0,26.0,6.0,Late,Tetraploid,Dormant,Diurnal,17.0,3.0,111,intense gold with green eye,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/S/SHORT AND SASSY (111).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=159500&name=Show Jumping,Show Jumping,Rice-JA,2009.0,31.0,6.0,Midseason,Tetraploid,Semi-Evergreen,Diurnal,20.0,4.0,02-111,red orange with yellow gold edge above green to yellow throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/S/SHOW_JUMPING.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=154015&name=Since I've Been Loving You,Since I've Been Loving You,Rice-JA,2007.0,30.0,5.5,Midseason,Tetraploid,Semi-Evergreen,Diurnal,22.0,3.0,U-8,mauve purple with violet watermark and silver edge above green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/S/SINCE_I'VE_BEEN_LOVING_YOU.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=170865&name=Simplicity Itself,Simplicity Itself,Rice-JA,2012.0,30.0,5.0,Late,Tetraploid,Dormant,Diurnal,,4.0,2012-SI,clear light pink and cream with gold edge,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/S/SimplicityItself.jpg,Fragrant,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=203443&name=Slow Painting,Slow Painting,Rice-JA,2025.0,40.0,8.0,Midseason,Diploid,Semi-Evergreen,Diurnal,12.0,3.0,20-37,"Lavender with lime green throat radiating into bright yellow, with soft gray halo.",(Blue Dolphin × A World Away),https://daylilydatabase.org/AHSPhoto/S/Slow_Painting_1746732263.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Blue Dolphin,A World Away"
https://daylilydatabase.org/detail.php?id=172482&name=Song of Life,Song of Life,Rice-JA,2013.0,36.0,6.0,Midseason,Tetraploid,Dormant,Diurnal,19.0,3.0,12-7,twilight rose with gold edge and green throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/S/SONG OF LIFE.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=161245&name=When You're Lonely,When You're Lonely,Rice-JA,2008.0,36.0,6.5,Midseason,Tetraploid,Dormant,Diurnal,23.0,4.0,WHEN,violet lavender with lighter watermark above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/W/WHEN_YOU_RE_LONELY.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=190390&name=Walking on Mars,Walking on Mars,Rice-JA,2020.0,28.0,5.0,Midseason,Diploid,Dormant,Diurnal,15.0,3.0,446116,Raspberry red with green throat blending yellow.,(Rich Woman × Hot Yoga),https://daylilydatabase.org/AHSPhoto/W/WalkingonMars_1575943238.JPG,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,"Rich Woman,Hot Yoga"
https://daylilydatabase.org/detail.php?id=190391&name=Young Kitten,Young Kitten,Rice-JA,2020.0,30.0,6.0,Early-Midseason,Diploid,Dormant,Diurnal,15.0,3.0,36721,Light rose lavender with green to yellow center and pale violet watermark on the petals.,(Dream Sequence × Romance Is in the Air),https://daylilydatabase.org/AHSPhoto/Y/YoungKitten_1575943326.JPG,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Romance Is in the Air,Dream Sequence"
https://daylilydatabase.org/detail.php?id=163409&name=Veil of Secrecy,Veil of Secrecy,Rice-JA,2010.0,32.0,5.5,Midseason,Tetraploid,Dormant,Diurnal,20.0,3.0,27,clear rich medium dark violet with bright yellow eye and lavender halo with ruffled gold edge above lime green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/V/VEIL OF SECRECY (27).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=159514&name=Triathlon,Triathlon,Rice-JA,2010.0,32.0,5.5,Midseason,Tetraploid,Dormant,Diurnal,26.0,4.0,133,violet purple with cream to light greenish eye and light lavender halo,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/T/Triathlon.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=158408&name=Old Friends,Old Friends,Rice-JA,2010.0,40.0,6.5,Midseason-Late,Tetraploid,Dormant,Diurnal,27.0,4.0,78,yellow creamy blend with pink highlights and fringy gold edge above dark green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/O/OLD FRIENDS (78).jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=161243&name=Off to the Races,Off to the Races,Rice-JA,2008.0,32.0,5.5,Midseason,Tetraploid,Dormant,Diurnal,22.0,3.0,OFF,rose with gold edge above green to yellow throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/O/OFF_TO_THE_RACES.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=201026&name=Patti Byerley,Patti Byerley,Rice-JA,2024.0,42.0,6.0,Early-Midseason,Diploid,Dormant,Diurnal,18.0,5.0,20-47,"Saturated, intense dark purple violet with bright, lime green throat brushing to lavender on petals.",(Hayden Scoot Miller × Cool Yoga),https://daylilydatabase.org/AHSPhoto/P/Patti_Byerley_1711503607.jpeg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Hayden Scoot Miller,Cool Yoga"
https://daylilydatabase.org/detail.php?id=193586&name=Persuade Me,Persuade Me,Rice-JA,2021.0,40.0,7.0,Early-Midseason,Diploid,Semi-Evergreen,Diurnal,22.0,3.0,A J17,Violet purple with lime green throat.,(Blue Dolphin × Regency Heights),https://daylilydatabase.org/AHSPhoto/P/Persuade_Me_1617153338.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,"Regency Heights,Blue Dolphin"
https://daylilydatabase.org/detail.php?id=190388&name=Papaw Dennis,Papaw Dennis,Rice-JA,2020.0,46.0,6.5,Midseason,Diploid,Dormant,Diurnal,20.0,4.0,376131,Light pink lavender bitone.,(Blue Dolphin × Scandinavia),https://daylilydatabase.org/AHSPhoto/P/PapawDennis_1575943133.JPG,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,"Blue Dolphin,Scandinavia"
https://daylilydatabase.org/detail.php?id=163404&name=Nadine's Dream,Nadine's Dream,Rice-JA,2010.0,36.0,6.0,Midseason,Tetraploid,Semi-Evergreen,Diurnal,20.0,3.0,1,apricot golden yellow with sculpting and gold ruffled edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/N/NADINE'S DREAM (1).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163405&name=Ninotchka,Ninotchka,Rice-JA,2010.0,36.0,5.5,Midseason-Late,Tetraploid,Semi-Evergreen,Diurnal,18.0,3.0,12,yellow with rose blushed highlights and gold fringed edge and lime green eye radiating out to yellow,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/N/NINOTCHKA (12).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=175095&name=Mother,Mother,Rice-JA,2014.0,36.0,5.0,Midseason,Tetraploid,Dormant,Diurnal,21.0,4.0,13-9,"light cherry pink with softly ruffled edge, green throat and light cream watermark",((sdlg × sdlg) × (sdlg × sdlg)),https://daylilydatabase.org/AHSPhoto/M/Mother.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=164561&name=Rosy Complexion,Rosy Complexion,Rice-JA,2010.0,32.0,5.5,Midseason,Tetraploid,Semi-Evergreen,Diurnal,16.0,3.0,20,clear rose with pink watermark,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/R/ROSY_COMPLEXION.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163750&name=Rouen Cathedral,Rouen Cathedral,Rice-JA,2010.0,40.0,6.0,Late,Tetraploid,Dormant,Diurnal,21.0,3.0,117,cream with rose gold edge,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/R/ROUEN CATHEDRAL (117).jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=161117&name=Red Mile,Red Mile,Rice-JA,2009.0,40.0,6.6,Midseason-Late,Tetraploid,Dormant,Extended,20.0,4.0,AA3-R5,red self above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/R/RED_MILE.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=157886&name=Ruckus,Ruckus,Rice-JA,2007.0,28.0,5.5,Midseason,Tetraploid,Dormant,Diurnal,22.0,4.0,J-46,yellow butterscotch bitone above green throat,(Unbridled Spirit × Bass Gibson),https://daylilydatabase.org/AHSPhoto/R/Ruckus.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,"Unbridled Spirit,Bass Gibson"
https://daylilydatabase.org/detail.php?id=159509&name=Saddle Up,Saddle Up,Rice-JA,2009.0,33.0,5.5,Midseason-Late,Tetraploid,Dormant,Diurnal,24.0,4.0,5K-2,peach buff bitone with gold edge above green throat,(unknown × unknown),https://daylilydatabase.org/AHSPhoto/S/SADDLE_UP.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=163749&name=Polynesian Paradise,Polynesian Paradise,Rice-JA,2010.0,30.0,5.0,Late,Tetraploid,Dormant,Diurnal,23.0,3.0,125,rose orange blend with orange gold edge above green throat,(unknown sdlg × unknown sdlg),https://daylilydatabase.org/AHSPhoto/P/POLYNESIAN PARADISE (125).jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=157885&name=Possible Side Effects,Possible Side Effects,Rice-JA,2007.0,28.0,5.5,Midseason,Tetraploid,Semi-Evergreen,Diurnal,24.0,4.0,J-377,dark purple violet with white edge above yellow throat,(sdlg × sdlg),https://daylilydatabase.org/AHSPhoto/P/Possible_Side_Effects.jpg,Unknown,,None,,,1,10.0,John and Annette Rice,Paris,KY,United States,
https://daylilydatabase.org/detail.php?id=159506&name=Pins and Needles,Pins and Needles,Rice-JA,2010.0,26.0,6.0,Midseason,Tetraploid,Dormant,Diurnal,18.0,3.0,T-15 6-27,yellow with amber rose highlights,((Bass Gibson × sdlg) × unknown),https://daylilydatabase.org/AHSPhoto/P/Pins_and_Needles.jpg,Unknown,,None,,,0,10.0,John and Annette Rice,Paris,KY,United States,Bass Gibson
